编码,名称
11.45475844G,中铁检验认证中心有限公司
11.45487415Q,北京博润伟业管理顾问有限公司
11.46706309,北京尼吉电子技术有限公司
11.46708603W,北京中铁天瑞机械设备有限公司
11.46719230N,中国平安财产保险股份有限公司北京分公司
11.46722261A,中外建华诚工程技术集团有限公司
11.48461801,北京合众星联科技有限公司
11.49396027W,北京泰宁科创雨水利用技术股份有限公司
11.50000174,中国铁道学会
11.50000601,中国交通运输协会
11.50000701,中国工业经济联合会
11.5000098,中国人力资源开发研究会
11.50001071,中国企业联合会
11.50001204,中国机械工业安全卫生协会
11.50001558,中国机械制造工艺协会
11.51315303T,北京励合尚科技有限公司
11.51358391T,北京万高众业科技股份有限公司
11.51364687C,北京欧万电子科技有限公司
11.51374228H,易迪信（北京）科技有限公司
11.51395276E,北京中科光析科学技术研究所
11.51423034X,北京宝达恒运科技有限公司
11.51434503,康为同创集团有限公司
11.52244585,国家知识产权局专利局
11.52626698U,北京惠尔三吉绿色化学科技有限公司
11.52629621E,中国安全生产科学研究院
11.5262963XX,《企业管理》杂志社
11.52634460X,北京艾莱资讯有限公司
11.53115182A,中展国信（北京）国际会展有限公司
11.53624001L,北京安怀信科技股份有限公司
11.54172837R,北京格林仕科贸有限公司
11.54654482,北京雅高共创国际广告有限公司
11.55135277,卡迪斯物流设备（北京）有限公司
11.55140703,北京东方博石管理咨询有限公司
11.55485496,通号城市轨道交通技术有限公司
11.55684188,轩辕国际投资（北京）有限公司
11.55684976,北京弘浩达牵引电气有限公司
11.55851857,北京中电远方电力技术有限公司
11.55852927X,北京圣安瑞达电气有限公司
11.55856351,深圳交易咨询集团有限公司北京分公司
11.55857222,北京正为远达管理顾问有限公司
11.56026809,北京伍强科技有限公司
11.56206954,安迪曼（北京）科技有限公司
11.56207897,宝马（中国）服务有限公司
11.56367738,北京泰科鑫克科技发展有限公司
11.56740067,法维莱交通设备科技（北京）有限公司
11.56743333,诺和君目（北京）科技有限公司
11.56877481P,北京兴信易成机电工程有限公司
11.56947,北京中铁科轨道交通安全技术有限公司
11.5695388,北京锐豪天宇科技有限公司
11.57127534X,北京恒润同翔科技有限公司
11.57316721,北京承乾润华机电设备有限公司
11.57374847D,北京宏达文昌商贸有限公司
11.57399884,汉印国际展览（北京）有限公司
11.57522397,北京铭志高科仪器设备有限公司
11.57688671,北京众山物资有限公司
11.57690842,北京中认环宇信息安全技术有限公司
11.57745582,北京昊阳利达科技有限公司
11.57905213,资慧纵横（北京）管理咨询有限公司
11.58080149,北京世纪名堂文化传播有限公司
11.58080295,北京扬美天和国际咨询有限公司
11.58080347,北京迅寻科技发展有限公司
11.58241107J,北京乐思门咨询有限公司
11.58518116K,中国铁道科学研究院集团有限公司城市轨道交通中心
11.58519725X,天河智造（北京）科技股份有限公司
11.58522916G,北京江河润泽工程管理咨询有限公司
11.58773711,飞屋环球国际展览（北京）有限公司
11.58913176,北京天元汇交通设备有限公司
11.58914258,神华物资集团有限公司
11.59238069,北京智轨咨询有限公司
11.59602981,北京京兴永利轨道科技有限公司
11.60000211,莱姆电子（中国）有限公司
11.60000355,北京波罗努斯涂装设备有限公司
11.6000107,北京发那科机电有限公司
11.60001455,北京首钢吉泰安合金材料有限公司
11.60002123,华腾数控有限公司
11.60002142X,北京ABB低压电器有限公司
11.60002288,北京东方集成机电装备有限公司
11.6000236,北京贝尔德分析仪器技术有限公司
11.60002373,通广胜利中国技术中心
11.60003871,德欣机电技术（北京）有限公司
11.60004105X,北京ABB高压开关设备有限公司
11.60005983,北京印特色达机械有限公司
11.60006808,兴夏机电设备（北京）有限公司
11.60009648,北京欣美波机械装备有限公司
11.60037649,北京成华助友科技发展有限公司
11.60037796,北京浦然进出口有限公司
11.60037796,北京赛德高科铁道电气科技有限责任公司
11.6003838,北京诚信志远科技发展有限公司
11.60040776,北京建侬体育用品有限公司
11.60045436,北京法特铸造设备有限责任公司
11.6004835,北京捷多科技术贸易发展中心
11.60049781,北京诺和技贸有限责任公司
11.60129704Y,北京华政税务师事务所有限公司
11.60406543,北京德力高远科技有限公司
11.60439927R,中时瑞安（北京）网络科技有限责任公司
11.60501514,北京京东世纪贸易有限公司
11.60904539J,北京众鑫路达科技有限公司
11.61260631G,北京万翔博瑞商贸有限公司
11.61301173Y,中审亚太会计师事务所（特殊普通合伙）
11.61310248L,北京方圆正信教育咨询有限公司
11.6142254XU,北京太格时代电气股份有限公司
11.62053702P,中汇远洋科技（北京）有限公司
11.62110340W,北京惠丰佳业汽车销售有限公司
11.62590462,悌安悌国际交通设备(北京)有限公司
11.6259099,北京挪拉斯坦特芬通信设备有限公司
11.62591162,北京飞机维修工程有限公司
11.63105188C,普华永道商务咨询（上海）有限公司北京分公司
11.63109306Q,北京成旺人和商贸有限公司
11.63119598,德莱特恩环保涂料（北京）有限公司
11.63301382,北京中宇豪电气有限公司
11.63302022,北京港通机电设备有限公司
11.63302355,北京中电斯凯浮技术服务站
11.63302958,北京中航凯普电子有限公司
11.63307966,北京大华微波仪器经营部
11.63360101,北京金华宁商贸有限公司
11.63361953,北京正金科贸有限责任公司
11.63365689,北京利盛华科技开发有限公司
11.63366075,北京天泽电力器材有限公司
11.63368885,北京振中信达电子技术有限公司
11.63369409X,智汇新基建（北京）交通科技有限公司
11.6337026,北京恒业世纪科技股份有限公司
11.63370331,北京兆维工装有限公司
11.63370998,大唐电信科技股份有限公司
11.63371319,北京华胜天成科技股份有限公司
11.63371535,安泰科技股份有限公司
11.63372348,北京海铁物资供应中心
11.63372488,北京科文华商贸有限责任公司
11.6337299,中国学术期刊（光盘版）电子杂志社有限公司
11.63379576,北京京富恒晟科技有限公司
11.63379665,北京长得瑞华电子技术有限公司
11.63432033X,北京新赛科技有限公司
11.63433119,北京慧点科技有限公司
11.63433356,北京嘉盛智检科技有限公司
11.63434231X,北京博飞电子技术有限责任公司
11.63434512,北京海铁铁路技术开发中心
11.63436031,北京赛方德驰科技有限公司
11.63436408,北京圣斯克电子技术有限公司
11.63437318,北京市运和科技有限责任公司
11.63439416,北京中铁列尾电子设备有限公司
11.63600026P,矩阵科工检测技术(北京)有限公司
11.63629398W,北京东方和美工程技术有限公司
11.63637145,北京永新医疗设备有限公司
11.63683773,优势博研(北京)科技有限公司
11.64205727U,中铁工程设计咨询集团有限公司
11.6423806X6,北京秦汉阁工艺品有限责任公司
11.64917758K,中大锐海（北京）工程技术有限公司
11.65512876,北京仪尊时代科技有限公司
11.65605848U,泰康养老保险股份有限公司
11.65759794,中铁物贸集团有限公司
11.66054840X,瑞雷行影像科技（北京）有限公司
11.66215353,英维思西屋铁路技术咨询服务（北京）有限公司
11.66258905N,北京中航万通机电工程股份有限公司
11.66310991,北京梦幻三星涂装设备技术开发公司设备安装队
11.66371836,北京中恒电国际信息技术有限公司
11.66462558,中车北京南口机械有限公司
11.66625116,北京天圆开资产评估有限公司
11.66625863,北京恒盛达文化有限公司
11.66629858,北京仁智永恒管理咨询有限公司
11.66750007,北京神州汽车租赁有限公司
11.66753700E,北京铁科英迈技术有限公司
11.66753871,迈格斯机械（北京）有限公司
11.66758608A,南德认证检测（中国）有限公司北京分公司
11.66910957,北京明和杰昌科技有限公司
11.66913628,北京审信东审税务师事务所有限责任公司
11.66993629X,北京科慧远咨询有限公司
11.67170024,华车（北京）交通装备有限公司
11.67170547,北京网联汇海商务有限公司
11.67235603,北京悦天国际旅行社有限公司
11.67273185,固科博睿（北京）科技有限公司
11.67282292B,北京中航嘉城科技股份有限公司
11.67572781,中金礼联文化（北京）有限公司
11.67742601,北京国铁晟达文化传播有限公司
11.67962132,北京兴越华泰机电设备有限公司
11.67962132,北京品固机电设备有限公司
11.67964498,北京创意麦奇教育信息咨询有限公司
11.68045188,北京西屋华夏技术有限公司
11.68047984,北京浦然轨道交通科技股份有限公司
11.68124497,北京华合阳自动化机械设备有限公司
11.68199802,创新联盟（北京）文化传媒有限公司
11.6842413,北京东立博通电子科技有限公司
11.68429537,北京锦源汇智科技有限公司
11.68436379,北京鼎力诚科贸有限公司
11.68510167,LMS（北京）技术有限公司
11.6876046,北京盛世金科科技有限公司
11.68762695,北京傲龙伟业汽车贸易有限公司
11.68763855,北京中天银亮科技有限公司
11.68922033,北京中人基石文化发展有限公司
11.69084064,北京合力兴源商贸中心
11.69168088,北京中德双赢科技发展有限公司
11.69230574,卡尔克鲁斯焊接技术(北京)有限公司
11.69231214,北京伊贝格机械有限公司
11.69320485,西创同驰系统控制技术（北京）有限公司
11.69328745,北京运通恒昌科技集团有限公司
11.69328826,北京科威精益科技有限公司
11.6935211X8,思派（北京）保险经纪有限公司
11.69496046X,新钢贸易（北京）有限公司
11.6949923XD,瑞华会计师事务所（特殊普通合伙）
11.69502726D,北京协力通企业管理咨询有限公司
11.69503098,北京神州比杰定额标准技术研究中心
11.6963326,北京天宜上佳高新材料股份有限公司
11.69635176,北京首安信息技术有限公司
11.69637682,北京炫我科技有限公司
11.69767208,北京树优信息技术有限公司
11.69768437,北京交控科技有限公司
11.69772732,力奇先进清洁设备（上海）有限公司北京分公司
11.69901310K,中冶赛迪电气技术有限公司
11.6991391X2,北京蓝色阳光文化传播有限公司
11.70000064,通力凯顿（北京）系统集成有限公司
11.70000093,北京博得交通设备有限公司
11.70000458X,霍曼（北京）门业有限公司
11.70000982,帝安帝运输设备（北京）有限公司
11.70001657,北京荣兴昊科技开发有限公司
11.70003594,中车信息技术有限公司
11.700053,北京天柏伦科技发展有限公司
11.70006698,北京汇金科技股份有限公司
11.70009039,北京邹展麓城科技有限公司
11.70009805,北京丰联海基科技发展有限公司
11.70013765,中铁工程设计院有限公司
11.70014864,北京兰利东方科技有限公司
11.70015262X,北京嘉祥新联科贸有限公司
11.70016875,北京凯普丽标科技发展有限公司
11.70019115,北京丰汇加机电设备销售有限公司
11.70019591,铁科院（北京）工程咨询有限公司
11.70020195,北京优利凯文电子技术有限公司
11.700214,北京世纪新惠仪器技术有限公司
11.70024028,北京北大英华科技有限公司
11.70028035,鼎盛智造（北京）科技集团有限公司
11.70030881,北京世纪瑞尔技术股份有限公司
11.70031013,北京滨尼顺商贸中心
11.70039371,北京东方博鼎科贸有限公司
11.70418497N,北京汪中求细节管理咨询有限公司
11.70595998B,北京时代新维测控设备有限公司
11.71092479,中车资产管理有限公司
11.71092552,国信国际工程咨询集团股份有限公司
11.71093156,中国普天信息产业股份有限公司
11.71093841,中国旅行社总社（北京）有限公司
11.7167298XC,北京都林精为机电设备有限公司
11.71719307C,北京瑞成智捷科技有限公司
11.71720400B,北京中城轨会展有限公司
11.71773005,北京市红绿蓝教学设备有限公司
11.71773355,北京科大同创机电有限公司
11.71774504,神州数码（中国）有限公司
11.71777186,北京京哈一工刀具销售有限公司
11.71780259,中国互联网新闻中心
11.71782322,德国泰乐信律师事务所驻北京代表处
11.71783046,人民东方出版传媒有限公司
11.71783157,中国城市轨道交通协会
11.71788226,莱茵检测认证服务（中国）有限公司
11.71872489,北京中铁物总贸易有限公司
11.71874643,北京斯派克特罗分析仪器有限公司
11.71877964X,北京冠卓企业管理顾问有限公司
11.7187857,北京嘉克新兴科技有限公司
11.71878952,北京诺和兴业科技有限公司
11.71961265,北京华胜天隆信息技术有限公司
11.72260281,北京航天万新科技有限公司
11.72261473,环境国际旅行社有限公司
